id,store_name,store_num,address,store_phone,manager_name,manager_phone,contact_person,contact_phone,store_email,notes,pricing_category,last_visit_date,latitude,longitude
,Stokkes Lakewood,,"4942 Jean Duluth Rd, Duluth, MN 55804",2183909102,Amy,2185765721,Josh,,,,,,46.86803271141726,-92.0478353333943
,Caywood Saginaw,,"7407 US-2, Saginaw, MN 55779",,,,,,,"Open at 5:30am Meat sticks, and meat n cheese packets in open air cooler. Shelton and Stokke pizza in retail freezer. No scan, just stock, get signature and print invoice.",,,46.8591081,-92.4443566
,Floodwood Grocery,,"810 Elm St, Floodwood, MN 55736",,,,,,,"Out of business, but new business there now. Stop by if you want and see if they're interested ",,,46.925858,-92.91466302040817
,Speedway Floodwood,44613,"101 US-2, Floodwood, MN 55736",,,,,,,"Every week Just pizza, moves slow",,,46.92427,-92.915314
,Lucky Seven Floodwood,33,"308 W 9th Ave, Floodwood, MN 55736",218-520-2870,Amy Parker,6128683541,,,floodwood@eoctrimark.com,"WEEKLY! Deli Pizza and Retail: Shelton pizza, meat sticks, and meat n cheese packets. Do Deli Freezer outside first - in the back.  Deli freezer: 2 stacks of Bfast, 1 stack Pep, 1 stack PepSaus, 1 stack 4meat Don't need to scan retail. They do beef sticks and meat n cheese packets at front cooler near counter. And sometimes you'll give them extra during busy season so they can reload when you're not there.",,,46.92522561602119,-92.91901178715729
,Lucky Seven Swan River,24,"16282 US-2, Swan River, MN 55784",218-492-4451,,,,,," Park at back door - might be open (if not, walk around front then unlock back door) Go through kitchen to get to freezer way in back. Manager office is way in back too  Check back freezer for deli pizza to find out what they need (or ask manager) and also check back freezer for Tielke subs and restock (keep in mind Tielke subs are RETAIL not Deli) they keep sandwiches in freezer. Deli: all the pizzas, Retail: pizza, meat sticks, meat and cheese packets (up front) Tielke subs in back freezer ",,,47.08744342455163,-93.19773889364184
,Super One Grand Rapids North,520,"503 NW 4th St, Grand Rapids, MN 55744",,,,,,,,,,47.236022,-93.53600953061225
,Lucky Seven Grand Rapids West,30,"1515 NW 4th St, Grand Rapids, MN 55744",218-301-1501,Nick,218 256-8452,"Ally, River",,,"Retail and Deli - requesting BuffChx for Retail: meat sticks in open air cooler, pizza in retail freezer,  Deli: Bfast, PepSaus, Pep, 4meat",,,,
,Super One Grand Rapids,515,"2410 S Pokegama Ave, Grand Rapids, MN 55744",,,,,,,,,,47.20871029166666,-93.528675375
,Lucky Seven Grand Rapids East,22,"1211 US-169, Grand Rapids, MN 55744",218-326-0660,Cassie (former mngr),2188662879,Emily (manager),,,"Deli: Bfast, Pep, PepSaus, 4meat (keep well stocked). Retail: meat sticks, cheese packets, Tielke subs Scan retail! Ask for scanner and do it yourself",,,32.913506,-97.327388
,Lucky Seven Nashwauk,26,"121 1st St, Nashwauk, MN 55769",218-885-3105,Betsy,,"Theresa, Rene",,nashwauk@eoctrimark.com,"Deli: Bfast and some Pepp, Retail: check retail freezer for pizza, cooler takes meat sticks (no cheese) and ask Betsy (manager) or someone if they need more Tielke subs, or check yourself (freezer is behind counter in back)",,,47.379534,-93.168898
,Lucky Seven Hibbing A1,23,"1501 E Howard St, Hibbing, MN 55746",218-263-4340,,,,,hibbinga-1@eoctrimark.com,"Go every other week Lame stop, slow. Only pizza. Lot's of credits to them for freezer burnt pizza (doesn't sell) Scan each pizza before stocking (if just giving credit pizza for freezer burn, don't need to scan, but give them an invoice and let them know what you did. Also Billy needs invoices for credits, so don't just swap out freezer burnt pizza - make an invoice for everything!",,,47.426447,-92.918447
,Lucky Seven Hibbing Y,15,"3917 1st Ave, Hibbing, MN 55746",218 263-7344,Wilbur,,,,hibbingy@eoctrimark.com,"Park at far side where they load the gas. Deli (4 meat, Bfast, Pepp, PepSaus, but some Supreme and ChixAlf as well) and Retail: in open air cooler: meat sticks, meat n cheese packs, Tielke subs. In retail freezer:  pizza, and brats. Take Tielke subs from back freezer and restock the open air cooler, stamping a date on subs (one month shelf life) and placing behind older subs in open air cooler. Drop deli in boxes in Freezer (write today's date on deli pizza boxes!!!) Grab date gun and scanner for sandwiches etc. You scan retail yourself.",,,47.40297265249183,-92.94126836981334
,Super One Hibbing,525,"1101 E 37th St, Hibbing, MN 55746",,Joe,,,,,,,,47.4073689,-92.9272774
,Korner Store Chisholm,200,"403 W Lake St, Chisholm, MN 55719",,,,,,,"Retail only: Shelton & Stokke pizza, and Tielke subs (use your discretion on flavor and amount, and date them before stocking) You need to sign their clipboard. No Deli, just retail.",,,47.48937706771138,-92.88593614711053
,Lucky Seven Chisholm,6,"1002 3rd Ave NW, Chisholm, MN 55719",218-254-7168,Tina,,,,,"Deli and Retail. For Retail: pizzas, brats, and Tielke subs (grab subs from freezer and stock. Date gun is in cupboard near cooler). Get the scanner for retail and scan yourself. For Deli pizza, ask Tina (manager) what they want or do Bfast, Pep, PepSaus, 4meat and ChixAlf.  Just drop deli pizza boxes in freezer ",,,47.49874724399114,-92.88242630443277
,Short Stop Townline,26,"3504 US-53, Eveleth, MN 55734",,Laney,,,,,"Retail only. LOTS of meat sticks and cheese (especially during hunting season) Pizza, Meat sticks, meat n cheese, sandwiches Scan everything BEFORE stocking Leave sandwiches in boxes up front and put everything else on shelves Does very good during Fall, especially huting season LOTS-TONS of Meat sticks Make sure to communicate well with Laney(manager) regarding how much meat sticks and cheese packets they want, stock extra in the back. First thing to do is go in back cooler to FIFO and restock open air cooler from any extra you placed in back cooler.",,,47.462761,-92.538824
,Speedway Cotton,44614,"7521 Comstock Lake Rd, Cotton, MN 55724",,Jason,,,,,"Retail only. Scan before stocking. Jason is manager Sheton Pep, PepSaus, Supreme Stokke Pep, PepSaus, Supreme They used to do meat sticks",,,47.169599,-92.475048
,Dawghouse Canyon,,"7283 US-53, Canyon, MN 55717",,Nick Miller,218-590-8337,,,,"Get check! Just pizza Go into kitchen behind bar Take pizza out of boxes and FIFO Either go in the morning as you drive north on hwy 53, or in evening driving south on 53. Optional to text Nick (manager/owner) and ask if you need to stop by, but better for you to just check yourself. Otherwise he might text you in an emergency and NEED you to come up.",,,47.03994,-92.47075
,Twig Store,,"5302 Twig Blvd, Twig, MN 55791",218 729-5866,Dave,,Nita,,,"Get check! Meat sticks, meat-n-cheese packets toward front. Retail Pizza in the back freezer Shelton and Stokke. Opens at 7am They want Shelton chixAlf! Product moves, go weekly",,,46.894452,-92.363984
,Short Stop Virginia,5,"1131 S 2nd Ave W, Virginia, MN 55792",,Chad,2187494875,"Richard, Rene",,,"Park at edge, near street. They need to SCAN you in! You aren't allowed to scan, but you can try to ""help""  Just Tielke subs and meat sticks. Good amount of meat sticks Chad(manager) or Richard tells you what Tielke subs he needs or leaves a note up front (or note is hiding in back), or in office. Ask for note for sandwhiches, or check chest freezers in back (or check glass door freezer) Stock meat and cheese on shelf, and put boxes of sandwiches on the side counter (not front where customers pay)",,,47.513402,-92.533264
,"Lucky Seven Virginia, Hoover Rd",5,"820 N Hoover Rd, Virginia, MN 55792",218 741-3617,Wil,218 626-5091,Nikki,,,"Park on north side (try to get yellow stripe spot). Deli: all the Sheltons. Retail: Shelton and Stokke pizza, meat sticks, Tielke subs. Ask for scanner for retail and scan yourself. Deli takes LOTS of pizza! Give them a LOT of breakfast so that they never run out, ever. Retail is slow, but make sure they  don't run out (owner is there often and doesn't like empty shelves). Take any freezer burnt out!!! And credit them. Scan retail yourself. Tielke subs are in a separate freezer from the Shelton deli pizzas. Check stock of Tielke subs in freezer, and restock open air cooler up fron if needed - stamp date before stocking Tielke subs into open air cooler!",,,47.529465364811024,-92.56015888686072
,"Lucky Seven Virginia, Northside",9,"832 16th St N, Virginia, MN 55792",218-848-8695,Mike,,,,,"Retail only, no deli. Slow. Maybe every other week? Shelton pizza and Tielke subs. Subs are in freezer, so stamp date of stocking (today's date) NOT date one month from day of stocking. Stock lightly, but credit freezer burnt often (keep it fresh!!!) Need to scan before stocking",,,47.53660395,-92.5472683
,Short Stop Cook,,"320 US-53, Cook, MN 55723",,Cody,218 290-9489,,,,"Retail only. Slow in winter, busy in summer. They scan you in at front coutner before you stock. Brats in freezer, Tielke subs, meat sticks, meat n cheese packets in open air cooler. Credt them any expired items, or freezer burnt brats! Use discretion when stocking (if slow time of year, stock light, if busy stock heavy) or talk with Cody (manager) about what he wants",,,47.5134017,-92.5332637
,Lucky Seven Cook,2,"11 US-53, Cook, MN 55723",218-666-9984,Matt,,Mike,,l7cook@eoctrimark.com,"Mostly slow, except for Tielke subs (winter slower than summer - tourism picks up) Deli and Retail pizza, meat sticks, meat n cheese packets Deli: Breakfast and Pepperoni only - (slow).  Take deli out of boxes and load into - very small -freezer FIFO Retail:Tielke subs (stock heavy) meat sticks (stock light), meat n cheese packets (stock light). Scan retail yourself, and stamp date on Tielke subs (one month from stocking date)",,,,
,The Y Store,,"6368 MN-169, Tower, MN 55790",218 753-3868,,,Sandy,,,"SELLS TONS OF MEAT sticks and meat n cheese in summer and hunting. Every other week (at least during slow winter, but summer or when busy, go every week) Retail pizza, (used to do Tielke subs but they switched vendors, so no more Tielke from us), meat sticks and meat n cheese. No deli - they do a different pizza for deli. Sandy, Crystal, Paula, Jackie Get racks for beef sticks, cheese and pizza Across from Fortune Bay sign It's a Cenex gas station ",,,47.7841741,-92.3632218
,Lucky Seven Ely,11,"620 E Sheridan St, Ely, MN 55731",218-740-4647,Aleks,,,,,"Aleks manager Deli and Retail pizza, and retail Tielke subs. Deli pizza moves fast in summer (stock accordingly), winter a little slower. Don't need to scan retail. Deli pizza and Retail pizza, sandwiches ",,,47.90304328795785,-91.857693924591
,Short Stop Ely Voyageur,66,"1815 E Sheridan St, Ely, MN 55731",,Lisa,218 235-7780,,,,"Lisa is manager Next to Voyager Outfitters No pizza, just meat sticks and cheese, and Tielke subs only in summer when busy (no Tielke in slow winter). Do sandwiches 6 deep, 3 facings (Taco Grinder if you have it), Italian, Brisket, Philly (do philly) Scan yourself if Lisa (manager) is not there - or some staff know how to scan and they prefer to do it, so ask. Stamp date on BACK of sandwiches before stocking on shelf. CHECK Tielke subs for expiration and credit! (same for meat sticks) or give refund.",,,47.90330288367812,-91.8394005559084
,Lucky Seven Aurora,13,"26 W 3rd Ave N, Aurora, MN 55705",2182292808,Bailey,2189946779,Dave,,,"Text Bailey(manager) on day of route, she will tell you what she wants for Deli (not for Retail - you need to check Retail yourself). Drop off deli behind counter, don't put in freezer. Check and stock Retail, no need to scan, just stock and get invoice signed. Make sure to check freezer burnt and credit them.",,,47.52996975,-92.23759375
,Lucky Seven Hoyt Lakes,10,"201 Kennedy Memorial Dr, Hoyt Lakes, MN 55750",2182252055,Brittany,2189942963,,,,"Text Britanny (manager) every week to see what she needs for deli, then check retail yourself and stock as needed. Just Retail and Deli pizza No scanning Just load items and get signature Just drop boxes in freezer",,,47.51824690850779,-92.17270873174775
,Lucky Seven Biwabik,1,"310 Main St, Biwabik, MN 55708",218-865-6183,Melissa,2182907184,Frank,,,"Text Melissa (manager) to see what she needs. She will tell you what she wants for BOTH Deli and for Retail (if not, make sure to check retail!). No need to scan retail, just stock. Check for freezer burnt and credit them - keep it looking nice!",,,47.532552,-92.344359
,Korner Store Cloquet,500,"401 Broadway St, Cloquet, MN 55720",,Amanda,,,,,1,,,46.721572800000004,-92.46260745249546
,Lucky Seven Cloquet,31,"201 Doddridge Ave, Cloquet, MN 55720",,Sandy,,,,,"Very very slow! Stock light! Lot's of credit pizza for freezer burn. Just retail pizza No scanning, just stock and signature",,,46.7135739,-92.46140363981075
,Super One Cloquet,571,"707 MN-33,Cloquet, MN 55720",,,,,,,,,,46.707784,-92.457595
,Big Lake Golf Course,,"780 Cary Rd, Cloquet, MN 55720",,Amy,218-348-7356,,,,,,,46.716055,-92.617761
,Cromwell Store VP,,"1302 Hwy 73 South, Cromwell, MN 55726",218-644-1114,Cindy,2183902300,,,,"Park in the back, next to back door. Sandy (manager) or Austin are usually the two you'll see the most. Use back door only! Do NOT go through front door - they will not be happy! Retail only, mulitple retail places in store. Meat n cheese packets on shelf of glass door cooler, 2 Shelton and 2 Stokke pizza in retail freezer, Tielke subs in cooler (they stock Tielke subs, you just make sure they have Tielke subs in back freezer - make sure they have a good amount, they sell a lot.). And meat sticks are in open air cooler up front (the cooler has a curtain that is always down).  No scan, just put stuff away and get signature for invoice. Summer is busy, winter is a bit slower, but still can be busy, so keep a very good stock of Tielke subs, and use discretion for meat sticks and meat n cheese.",,,46.679192,-92.883877
,Ukura's Big Dollar,,"41561 MN-65, McGregor, MN 55760",218-768-2666,Zerek,,,,,"Get check! Go around back Find Julie to check if they need pizza and/or sandwiches for school Retail pizza in freezer Find Zerek or Har (or one other person, forgot name) to write check. Summer time stock pizzas FULL, winter time, use a spacer and stock light (spacer to push pizza toward front of retal freezer window)",,,46.617295,-93.318053
,KJ's Fresh Market Moose Lake,,"70 Arrowhead Ln, Moose Lake, MN 55767",,,,,,,"Park in back and ring doorbell (or knock). Prop door open with door lock (remember to unprop before leaving!) Retail Stokke and Shelton pizza  Check items in before stocking! Find Jacob or somebody working in frozen. Fairlly slow, especially in the winter. Summer can be on the slow side too, use discretion when stocking.",,,46.4499736,-92.7671608
,Lucky Seven Moose Lake,38,"1050 MN-73, Moose Lake, MN 55767",218-461-0010,,,,,,"VERY SLOW! Deli (slow) and Retail (slow too) pizza. Might need to have them scan retail, just ask. Stock LIGHT and credit freezer burnt (pizza does not move so you'll have lots of freezer burnt, so stock it LIGHT!)",,,46.435113,-92.750745
,Korner Store Sturgeon Lake,,"88843 Warbler Ln, Sturgeon Lake, MN 55783",,,,,,,"No Deli, just Retail pizza Stokke n Shelton, Meat sticks (do lots of Terryaki meat sticks!),meat n cheese packets, and Tielke subs. Check Tielke subs in back freezer and stock front retail cooler with subs from back - stamp 1 month from today's date. Tielke subs can move well, but clerks never stock for you, so use discretion. No need to scan Just stock and sign",,,46.37398855,-92.78849916793186
,Lucky Seven Barnum,34,"3694 Co Rd 6, Barnum, MN 55707",218-380-9834,Jessi,6517069905,,,,"Deli and Retail. Retail: meat sticks, cheese packets in open air cooler, and retail pizza in retail freezer.  Deli Freezer sucks to load! FIFO deli pizzas! Put older deli pizza toward front and place newer toward back. Write todays date on Deli pizza boxes!  No scan for retail, just stock and get signatures for invoices.",,,46.503472,-92.699155
,Caywood Carlton,,"405 3rd St, Carlton, MN 55718",,,,,,,2 Stokke 2 Shelton pizzas. Mostly slow,,,46.665961,-92.424899
,Third Base,,"225 Chestnut Ave, Carlton, MN 55718",,Chrystal,218-451-0844,,,,"Go every other week. CHEESE BREAD! (make sure to stock on truck!) Shelton pizzas mostly, but sometimes an occasional Stokke pizza. Chrystal will tell you what she needs.",,,46.66418,-92.425396
,Chris's Food Center Sandstone,,"320 MN-123, Sandstone, MN 55072",,,,,,,"Go every other week, during WI run, very slow Stokke pizza and Shelton (I think just stokke now, no more shelton)",,,46.125059,-92.869607
,Caywood Esko,,"90 Thomson Rd. &, I-35, Esko, MN 55733",,,,,,,"Meat Sticks, cheese packets in open air cooler and retail Shelton and Stokke pizza in retail freezer. No scan, just stock and sign",,,46.692363,-92.36483
,Hermantown Hockey Arena,,"4309 Ugstad Rd, Hermantown, MN 55811",,Destini,218-343-7758,Dave,218-428-2161,,"Text Destiny every week during hockey season for order! (if stocking upstairs, code is 13579) Usually stocking Lower level, key on lanyard in office (ask janitor or anyone working for key) Stokke Pep, Saus, Cheese, PepSaus, Shelton Bfast, hot dogs Stock it FULL before big weekends!  Order hot dogs from Upper Lakes foods and pickup when you drive through Cloquet. Keep a good stock of hot dogs on hand during hockey season (don't keep any hot dogs when not hockey, you only selll hot dogs to hockey)",,,46.8228613,-92.2395062580701
,Super One Miller Hill,576,"5401 Burning Tree Rd, Duluth, MN 55811",,,,,,,"Keep back stock of pizzas in giant freezer in back. Go to retail freezer and take notes of what you need, then take from giant freezer to stock retail freezer, then create invoice of what you need to sell them.",,,46.810364,-92.171096
,Proctor Hockey Arena,,"704 Kirkus St, Proctor, MN 55810",,Nate Regas,218-428-5770,,,,"Text Nate weekly during hockey season for order. code 1793# Shelton pizza, hot dogs Text Nate and get orders from him Order hot dogs from Upper Lakes foods and pickup when you drive through Cloquet. Keep a good stock of hot dogs on hand during hockey season (don't keep any hot dogs when not hockey, you only selll hot dogs to hockey)",,,46.73427,-92.229675
,Korner Store Gary North,1,"1331 Commonwealth Ave, Duluth, MN 55808",,Krystal,,,,,"Meat sticks, meat n cheese packets in glass door cooler next to deli, retail Shelton and Stokke pizza in retail freezer. Ask if they have any checks for us to pick up. No scan, just stock and signature",,,46.67081214289971,-92.22661123299523
,Korner Store Gary South,2,"1301 Commonwealth Ave, Duluth, MN 55808",,Melissa,,,,,"Check open air cooler for Tielke subs and always have two there. Get Tielke subs from back freezer to stock open air cooler and see if they need any more cases of Tielke from us. They take every flavor from us. Retail pizza both stokke and shelton. No Deli from us. No scan, just stock and get signature",,,46.67045,-92.226611
,Speedway Morgan Park,44612,"1002 88th Ave W, Duluth, MN 55808",,Becky,715-919-2177,,,,"Stokke and Shelton pizza, Stokke brats, Tielke subs, meat sticks, and meat n cheese packets. Check Tielke subs in back freezer (outside), stock open air cooler with Tielke subs and stamp one month from toadays date (stamp on BACK!)  Can't deliver after 4pm Open at 6am",,,46.691706,-92.210363
,Reef,,"2002 London Rd, Duluth, MN 55812",218 724-9845,Dan Landgren,2185909325,,,,Get check! Go every week and stuff as many pizzas as you possibly can! very small freezer and they go through product.,,,46.80378434158952,-92.07036155789905
,Lucky Seven Woodville,45,"135 Stene Dr, Woodville, WI 54028",715-507-5845,Charles,,,,woodville@eoctrimark.com,WI route. Bypass St Paul! Take Stacy exit 139. Very slow store so they don't order much.,,,44.95106140997031,-92.2923960197429
,Lucky Seven Osceola,44,"201 Willow Lane Rd, Osceola, WI 54020, USA",715-666-3144,Wendy Mitthun Manager,715-371-0597,,,osceola@eoctrimark.com,"WI route. They order Deli and Retail, but keep eye on retail. Retail moves slow and you'll want to credit freezer burnt pizzas to keep it looking fresh. Bypass St Paul! Take Stacy exit 139 Deli pizzas get dropped off in boxes in back freezer.",,,45.330618,-92.694498
,Lucky Seven Balsam Lake,43,"101 W Main St, Balsam Lake, WI 54810",715-368-2195,Eileen Hostetler,715 271-7274,,,balsamlake@eoctrimark.com,"WI route. They order Deli and Retail. no scan retail, just load and sign. Eileen is a great manager and very nice!",,,45.452387,-92.453167
,Lucky Seven Luck,40,"106 WI-35, Luck, WI 54853",715-721-4340,Michelle Mork Manager,,,,luck@eoctrimark.com,WI route. Retail (rarely) and deli back freezer is tricky put boxes on freezer floor,,,45.609062449999996,-92.46774455021861
,Lucky Seven Cushing,42,"2460 Old State Rd 87, Cushing, WI 54006, USA",715-368-2192,Amy Hallis Manager,715 553-0308,Brenda,,cushing@eoctrimark.com,"WI route. They order Deli and Retail pizza. Must scan retail before stocking! Park in front, not handicap Go to beer cooler, freezer is on the left, prop open door and carry boxes to back wall. FIFO! - move the pizza that's already there and load up the fresh, then put the older stuff on top. Retail pizza can be loaded from inside the freezer or outside. Clerk is Brenda, manager is Amy""",,,45.56306986798088,-92.65070628271805
,Lucky Seven Grantsburg,39,"639 WI-70 Trunk, Grantsburg, WI 54840",715-997-8039,Penny,,"Connie, Rene, Chris",,grantsburg@eoctrimark.com,"WI Route. They order Deli and Retail. Connie in kitchen - talk to her about both deli and retail Stock retail but don't scan retail. Put deli into cooler just in front of freezer door - don't put  Deli pizza in the freezer. No scan, just get signatures for invoices",,,45.773012,-92.74137267050504
,Lucky Seven Webster,41,"26354 Lakeland Ave S, Webster, WI 54893",715-368-2152,Lisa,,,,webster@eoctrimark.com,"WI route. Deli and Retail. Take Deli to double door freezer in kitchen and take pizzas out of their boxes and FIFO in freezer. Don't overstack! If they ordered too many, place extra cases in walk-in freezer as back stock. You can take empty pizza boxes to cardboard dumpster out the back door. Check retail for freezer burnt and credit them.",,,45.872312535718315,-92.36461004057095
,Lucky Seven Minong,36,"1030 W Hokah St, Minong, WI 54859",715-368-2436,Becky (not manager),715 939-9138,,,minong@eoctrimark.com,"WI route. Deli and Retail. Becky usually texts the order instead of email, and she doesn't do specific order for meat sticks, meat n cheese, or Tielke, so prepare to figure out what you need to stock there for retail. Park in back near diesel pumps. Deli pizzas go in office freezer - behind office desk. Office door code 13579# Carry pizza boxes into freezer stack on shelves in their proper order (Make sure to write today's date on pizza boxes. They will stock the Tielke subs in the open air cooler, so you just keep track of if they need more cases of Tielke subs in the freezer.",,,46.10060915,-91.83946555
,Lucky Seven International Falls,46,"1100 3rd Ave, International Falls, MN 56649",,Jon,651-274-9522,Kara,218-324-1710,,"Jon and Kara are managers. Only go when they order, one of them will text you. Retail and Deli Bring LOTS of boxes of pizza (and sandwiches?) into freezer",,,48.601033,-93.4105904
,Short Stop Mt Iron,,"5539 3rd St, Mountain Iron, MN 55768",218 749-1424,Tammy,,Rhoda,,,"No Deli just Retail: Tielke subs and meat n cheese packets. Ask Tammy (manager) or Rhoda what they need for Tielke subs. They will SCAN everything before putting away. Meat n cheese packets go in cooler door on shelf of cooler door. They will stock Tielke subs, you just sell them the cases.",,,47.5328719,-92.6226926
,Melrude Pub,,"1767 Melrude Rd, Cotton, MN 55724",,Beth,218-969-5632,,,,"Beth will send you a text to order pizza fries when she needs them. Address is actually of the fire department, but it's right next to bar. Go to garage next to bar, open door, there's a freezer chest inside garage on the right. You'll need to rearrange the mess in freezer chest Put heavy weight on chest door to keep it closed Print inovice and place it on freezer door. Send Beth a digital copy of invoice as well via a text message.",,,47.177217,-92.421329
,Super One Pike Lake,571,"5698 Miller Trunk Hwy, Duluth, MN 55811",,,,,,,Go every other week Opens 7am Park at front and go through front door.,,,46.85103436180297,-92.27570968901885
,American Legion Post,71,"5814 Grand Ave, Duluth, MN 55807",,Brian Pederson,218 340-7300,,,,"Text Brian weekly and ask if he needs anything, if he doesn't answer, just pop in and check freezer. Doors will be locked often if you go early, but usually someone is there.",,,46.73277704283969,-92.17791340599571
,Spurs On First,,"109 W 1st St, Duluth, MN 55802",,Madeline,651-246-4608,Geno Haske,218 994-6062,,"Madeline will text you when she needs pizza. Either she, or Geno, or someone will let you in, so text or call them 15-20 minutes ahead to let them know when you'll arrive. Bring pizzas downstairs, take out of cases and load into freezer. Get signature and print invoce and place on the bar, or give to Geno or bartender or whoever.",,,46.78657051430289,-92.10085726169231
,Short Stop Eveleth,18,"410 Grant Ave, Eveleth, MN 55734, USA",218 744-5205,Nancy Lenari (District mngr),218-780-9444,"Jessica (mngr), Gayle, April, Parley",,,"Park on the far far left side of front of store. Retail only: Beef sticks,meat n cheese packets, in open air cooler. Tielke subs are in different open air cooler and in glass door retail freezer as well (customers buy both cool and frozen Tielke subs). Everything sells well there, so keep it well stocked (winter is a little slower). Jessica is manager Nancy is district manager. They have great food in their deli if you're hungry, and their staff is friendly and super cool.",,,47.46358155420318,-92.53984529829532
,Eggy's Bar Red Garter Lounge,,"214 Grant Ave, Eveleth, MN 55734, USA",,,218 780-5468,,,,Text him for order,,,47.4619418,-92.5395755
,Lucky Seven Hinckley,37,"329 Fire Monument Rd, Hinckley, MN 55037, USA",218-384-1770,Kirsten,,,,,"WI route (but they do NOT give you an order, so bring extra Shelton pizzas for their Deli and Retail! Deli is Bfast, Pepp, Pepp Saus, and 4mt. Kirsten is manager",,,46.0115794,-92.9336981
,Super One Two Harbors,528,"802 11th Ave, Two Harbors, MN 55616, USA",,,,,,,Hit every other week just like all other Super Ones,,,47.029621,-91.67499275648164
,Ely Lake Short Stop,6,"7782 Ely Lake Dr, Eveleth, MN 55734, USA",218 744-3588,Brooke,218 780-7229,,,,"Slow. Brooke is manager Tielke sandwiches, meat sticks and cheese packets Debbie was district manager (now retired) over the Short Stops in the area. Debbie: 218-780-3467",,,47.43453,-92.503372
,Fredenburg Minno-ette,,"5109 Fish Lake Rd, Duluth, MN 55803, USA",218 721-4800,Emily,218 393-1925,,,,Main phone: 218-721-4800 Emily will order from you via text. She orders very rarely and it's hard to know where to put stuff when you deliver. Do your best to stock things nicely and in their correct spot (you have to figure out where that correct spot is),,,46.974526,-92.217998
